user_id,hotel_id,rating,date_sejour
U0001,H024,3.8,2024-09-10
U0001,H004,3.7,2025-06-06
U0001,H035,4.3,2025-07-27
U0001,H073,3.7,2024-04-16
U0001,H030,4.1,2024-06-09
U0001,H076,4.3,2025-03-17
U0001,H075,4.7,2025-08-09
U0001,H079,4.8,2025-07-31
U0001,H046,4.0,2025-08-26
U0001,H011,4.7,2025-07-29
U0001,H062,3.5,2025-03-29
U0001,H018,4.7,2024-12-28
U0001,H065,4.7,2025-06-01
U0001,H061,4.2,2024-03-17
U0002,H023,4.3,2024-04-22
U0002,H057,4.1,2024-09-21
U0002,H063,3.7,2024-03-26
U0002,H042,3.8,2024-08-14
U0002,H059,4.8,2025-04-16
U0002,H032,4.0,2025-11-03
U0002,H055,3.5,2024-05-23
U0002,H052,4.7,2025-05-28
U0002,H006,4.7,2025-08-28
U0002,H049,4.6,2025-11-14
U0002,H041,5.0,2024-05-10
U0002,H051,3.3,2025-10-30
U0003,H006,4.9,2025-02-05
U0003,H072,1.6,2025-09-01
U0003,H050,4.4,2025-08-02
U0003,H067,1.0,2023-12-29
U0003,H007,3.1,2024-12-22
U0003,H025,4.7,2024-08-06
U0003,H038,4.6,2025-08-11
U0003,H057,5.0,2024-06-08
U0003,H051,1.9,2025-09-05
U0003,H039,5.0,2024-10-04
U0003,H037,4.3,2025-04-24
U0003,H060,4.7,2024-05-28
U0003,H022,1.3,2024-08-04
U0003,H055,3.1,2024-05-14
U0003,H074,4.1,2024-01-21
U0003,H076,3.9,2024-07-31
U0003,H019,5.0,2024-12-09
U0003,H030,3.8,2025-05-01
U0003,H054,5.0,2025-10-19
U0003,H042,4.4,2024-05-06
U0003,H029,4.2,2025-03-12
U0003,H080,5.0,2024-07-10
U0004,H050,4.2,2025-01-02
U0004,H066,3.0,2024-05-19
U0004,H021,4.3,2024-10-03
U0004,H049,4.6,2025-03-29
U0004,H071,3.4,2025-03-24
U0004,H077,4.7,2025-08-18
U0004,H006,4.3,2025-04-22
U0004,H022,2.6,2025-01-30
U0004,H043,4.7,2024-09-13
U0004,H020,4.1,2024-12-22
U0004,H078,4.3,2024-10-04
U0004,H019,4.0,2024-07-28
U0004,H023,4.6,2025-08-30
U0004,H007,4.7,2025-03-20
U0004,H054,4.1,2024-07-29
U0004,H040,4.3,2023-12-01
U0004,H065,3.3,2025-08-28
U0004,H047,3.5,2024-09-16
U0004,H080,4.0,2025-11-03
U0004,H029,4.1,2024-12-23
U0004,H069,3.3,2023-12-24
U0004,H041,4.7,2024-05-14
U0004,H012,3.0,2024-11-25
U0004,H008,3.8,2025-07-17
U0004,H009,4.2,2024-07-08
U0004,H013,2.6,2024-08-09
U0005,H012,1.4,2024-05-03
U0005,H007,3.4,2024-07-16
U0005,H014,3.0,2024-09-28
U0005,H054,5.0,2025-07-02
U0005,H023,4.8,2025-02-24
U0005,H021,4.9,2025-02-10
U0005,H037,3.9,2024-09-04
U0005,H072,1.6,2025-05-24
U0005,H076,4.4,2025-09-16
U0005,H059,4.7,2025-08-19
U0005,H047,4.9,2024-11-30
